Title,Release year,Genre,Duration,Rating,Viewership Certificate,User votes,Plot synopsis,Director,Poster Link
One Man's Hero,1999,"['Action', 'Drama', 'History']",2h 1m,6,R,1.3K,"John Riley, an Irish immigrant soldier recruited in the American army during the Mexican-American War faces anti-immigrant and anti-Catholic bigotry from his fellow servicemen and defects to the Mexican army.",Lance Hool,https://m.media-amazon.com/images/M/MV5BMTI5Nzc0NDQ5N15BMl5BanBnXkFtZTcwMzg0MDE2MQ@@._V1_.jpg
Saratoga,1937,"['Comedy', 'Drama', 'Romance']",1h 32m,6.5,Approved,2K,"After winning a stud farm in lieu of gambling debts, bookie Duke Bradley turns an eye to the daughter of the now deceased gambler and her millionaire fiancée.",Jack Conway,https://m.media-amazon.com/images/M/MV5BOWVmNWRmYWMtZmJiNS00Y2Q4LTliZTctMzM3YzQ1MjM5MTgwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
Eternity,2020,['Drama'],,,,,,,
Miss Julie,1999,['Drama'],1h 43m,6.1,R,1.6K,A footman seduces a count's daughter.,Mike Figgis,https://m.media-amazon.com/images/M/MV5BOWM4OGM0YmQtMjQzMS00Y2U3LTlkYzYtMzA0ODJjNmM5NzM3XkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_.jpg
Beyond the Rush,,,,,,,,,
John Henry and the Statesmen,,,,,,,,,
Cancel My Reservation,1972,"['Comedy', 'Mystery']",1h 39m,4.9,G,586,"Bob Hope is a stressed out talk show host who is sent on a vacation to Arizona on doctor's orders and has to play Sherlock Holmes with his wife, the lovely Eva Marie Saint, to solve a series of murders that has Bob as the prime suspect.",Paul Bogart,https://m.media-amazon.com/images/M/MV5BYTFlNmFjZDEtYjM3OS00YjgyLTgxMzYtODg0NWEwMTI3YmMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
The Abomination,1986,['Horror'],,,,,,,
Flight/Risk,2022,['Documentary'],1h 38m,6.4,PG,799,"Everyday people find themselves in the midst of a global tragedy when two Boeing 737 Max planes crash in 2018 and 2019. Told through the perspective of affected family members, their legal teams, and whistleblowers.",Karim Amer,
The Mechanic 3,,,,,,,,,
Born Reckless,1930,"['Crime', 'Drama', 'War']",1h 22m,5.4,Passed,564,"Hoping to use the publicity to get re-elected, a judge sentences a notorious gangster to fight in the war.",John Ford,https://m.media-amazon.com/images/M/MV5BZWFkYWZhZTYtMmZhNi00ODJmLTllY2YtOGRlNzcyOTI1NWUzXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_.jpg
Hellbent,2004,"['Horror', 'Thriller']",1h 24m,5.5,R,2.7K,"Halloween in West Hollywood, two guys making out in a park are interrupted by a serial killer. Later that night, a group of gay kids decide to visit to the site of the murders.",Paul Etheredge,https://m.media-amazon.com/images/M/MV5BMTI3NDg2NTgyNF5BMl5BanBnXkFtZTcwNzQ4NjkzMQ@@._V1_.jpg
For Love or Money,1963,"['Comedy', 'Romance']",1h 48m,6.1,Approved,566,"Wealthy Chloe Brasher has three beautiful daughters; Bonnie, Kate, and Jan. Chloe pays attorney Deke Gentry to fix them up with three suitable husbands.",Michael Gordon,https://m.media-amazon.com/images/M/MV5BNTRmM2QzN2YtN2Q0Ny00YWUyLThlZDktNzhhZjU5Y2FmN2Q3XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
They Won't Forget,1937,"['Drama', 'Film-Noir', 'Mystery']",1h 35m,7.2,Approved,1.9K,"A politically ambitious district attorney, unscrupulous tabloid journalists, and regional prejudice combine to charge a teacher with the murder of his student.",Mervyn LeRoy,https://m.media-amazon.com/images/M/MV5BNTg4ZjM0YjgtMzNiNi00MmZmLThmYzEtY2ZiN2NjOTY4ZmNiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
The Prophet's Game,2000,"['Crime', 'Drama', 'Thriller']",1h 46m,4.8,R,1.2K,A Seattle Homicide Detective (Dennis Hopper) is on the hunt of a twisted serial killer. Can he solve the killer's game before it claims another victim?,David Worth,https://m.media-amazon.com/images/M/MV5BNjU0N2FjYzAtODRlMy00NmI2LTlkYTItNWU1OTkzNmNkYWI5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg
A Blind Bargain,,,,,,,,,
Buster Brooks,,,,,,,,,
Lost Continent,1951,"['Adventure', 'Fantasy', 'Sci-Fi']",1h 23m,3.4,Approved,1.8K,"Major Joe Nolan heads a rescue mission in the South Pacific to recover a downed atomic rocket. The crew crash lands on a mysterious island, and spends much time rock-climbing.",Sam Newfield,https://m.media-amazon.com/images/M/MV5BZTBjMGM0YzgtZWI3Mi00Yzc1LWJiZDAtMzgzZDhlMjhkNDU2XkEyXkFqcGdeQXVyNjU1MjgyNDk@._V1_.jpg
Sweatshop,2009,['Horror'],1h 30m,4.2,Unrated,1.3K,A group of friends break into an abandoned factory in order to throw a impromptu party; unaware that it is not as empty as they originally believed.,Stacy Davidson,https://m.media-amazon.com/images/M/MV5BMTkxMDgzNTc4OF5BMl5BanBnXkFtZTcwMDAxMDA0Mg@@._V1_.jpg
Pottersville,2017,['Comedy'],1h 24m,5.5,PG-13,5.4K,"Maynard, a beloved local businessman, is mistaken for the legendary Bigfoot during an inebriated romp through town in a makeshift gorilla costume.",Seth Henrikson,https://m.media-amazon.com/images/M/MV5BOWRjMTFhOGYtOTZhNC00OGQwLTgwYjctZDdlMWVlNzI4MGRiXkEyXkFqcGdeQXVyNjkzMjQxNzU@._V1_.jpg
All Fall Down,1962,['Drama'],1h 51m,6.8,Approved,2.3K,"Ralph (Karl Malden) and Annabell Willart (Dame Angela Lansbury) are a feuding couple who are constantly bickering over their worthless, good-for-nothing son Berry-Berry (Warren Beatty). When Berry-Berry begins yet another meaningless love affair, this time with an older woman nam... Read all",John Frankenheimer,https://m.media-amazon.com/images/M/MV5BZmIyZGIxNDQtY2IxYS00MzZjLWFlMzUtYWM0NDZmNzBlZTkwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
Lovesick,1983,"['Comedy', 'Fantasy', 'Romance']",1h 35m,5.2,PG,902,"A psychiatrist, who falls in love with a patient, is visited by the spirit of Sigmund Freud, who gives him advice on how to handle it.",Marshall Brickman,https://m.media-amazon.com/images/M/MV5BMTg4MDk0OTQyOV5BMl5BanBnXkFtZTcwMTAxODcxMQ@@._V1_.jpg
Lord Love a Duck,1966,"['Comedy', 'Drama', 'Romance']",1h 45m,6.3,Not Rated,1.8K,"A bright satirical comedy about an innocent high school girl granted her wishes by a student prodigy. A broad satire of teenage culture in the sixties, its targets ranging from progressive education to beach movies.",George Axelrod,https://m.media-amazon.com/images/M/MV5BMTg0OTM1MzI2M15BMl5BanBnXkFtZTcwNDMwODcxMQ@@._V1_.jpg
The Curse of Abigail Proctor,2023,"['Horror', 'Thriller']",,,,,,,
NSFW: Not Safe for Work,2014,"['Comedy', 'Drama', 'Romance']",1h 10m,4.4,Not Rated,133,"The line between a relationship and a role play gets blurred, when Eugene a lonely married guy, answers a craigslist posting by the mysterious Elenore.",Ryan Balas,https://m.media-amazon.com/images/M/MV5BZTZiZTFhZTgtZGIwZS00NTdmLTg3OTEtZTNlNzFmOWQxNjk3XkEyXkFqcGdeQXVyNDY2NzgwOTE@._V1_.jpg
"Bloody Nose, Empty Pockets",2020,"['Documentary', 'Drama']",,,,,,,
Molly and Lawless John,1972,"['Drama', 'Western']",1h 38m,5.3,PG,334,"In New Mexico, a sheriff's unhappy mid-aged wife aids a condemned prisoner escape her husband's jail and elopes with the young and attractive outlaw to Mexico, pursued by the sheriff's posse.",Gary Nelson,https://m.media-amazon.com/images/M/MV5BODUwZTgzYTItNjNkOS00ODAwLWE0ZmQtNGZkNWU5M2MwZWFiXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
Remedy,2013,['Drama'],,,,,,,
The 47 Night Stand,,,,,,,,,
Honeydripper,2007,"['Crime', 'Drama', 'History']",2h 4m,6.7,PG-13,2.2K,"1950. Rural Alabama. Cotton harvest. It's a make-or-break weekend for the Honeydripper Lounge and its owner, piano player Tyrone ""Pine Top"" Purvis. Deep in debt to the liquor man, the chicken man, and the landlord, Tyrone is desperate to lure the young cotton pickers and local Ar... Read all",John Sayles,https://m.media-amazon.com/images/M/MV5BMTI3NTU5MDM4NF5BMl5BanBnXkFtZTcwMTAxNzg3Mg@@._V1_.jpg
Lyle,2014,"['Drama', 'Horror']",1h 2m,5.7,Not Rated,673,A mother's grief over the death of her toddler leads to horror.,Stewart Thorndike,https://m.media-amazon.com/images/M/MV5BMjI4OTMxODU5MF5BMl5BanBnXkFtZTgwNDg3MTk1NjE@._V1_.jpg
Backlash,1956,"['Drama', 'Western']",1h 24m,6.6,Approved,1.9K,Jim Slater seeks a survivor of the Apache ambush his father died in.,John Sturges,https://m.media-amazon.com/images/M/MV5BYzQ2NzljNTEtZjJjOS00MzE3LTg2MzEtOWE0OWI2NmM2MjM5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg
No Letting Go,2015,['Drama'],1h 44m,6.3,TV-PG,747,What would you do to save your child? A young teenager struggles with a debilitating mental illness as his mom risks everything to save him without losing the rest of her family.,Jonathan D. Bucari,https://m.media-amazon.com/images/M/MV5BMTc2NjYyMDE3Ml5BMl5BanBnXkFtZTgwODU5MTMyNjE@._V1_.jpg
Ballin 2024,,,,,,,,,
Corbin Nash,2018,"['Action', 'Horror', 'Thriller']",1h 34m,4.3,TV-MA,5.3K,A rogue Police Detective in search of his parents' killer is murdered and then reborn as the ultimate killer.,Ben Jagger,https://m.media-amazon.com/images/M/MV5BMDI4NzNlZTMtNTQzMC00ZTY1LWFhYTItYmVhMzQ4YTBiNzM3XkEyXkFqcGdeQXVyMTY2NTQ3ODc@._V1_.jpg
The New Age,1994,"['Comedy', 'Drama']",1h 52m,5.7,R,1.3K,"Episodic story about a yuppie couple who're going broke, and can't decide if they want to stay together - but openly sleep around and experiment with different lifestyles, or not.",Michael Tolkin,https://m.media-amazon.com/images/M/MV5BNmEyN2M5M2MtNmNmNi00ZmZkLWI5YzMtNzQwZjg2MTYyZDE4XkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
Jennifer,1978,['Horror'],1h 30m,5.4,PG,754,"Ostracized at a snooty private school because of her rural, poor background, a scholarship student is tormented to the point where her only remaining recourse is revenge, using the only method she knows: her psychic control over snakes!",Brice Mack,https://m.media-amazon.com/images/M/MV5BZjM0MWMxNjMtOTY2Mi00MWMwLTgyOWEtYjdjZDEwYzVmZDQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
The Invisible Circus,2001,['Drama'],1h 33m,5.5,R,3.2K,"A teenage girl travels to Paris in the 1970s trying to find out about her sister's alleged suicide, and falls in love with her dead sister's boyfriend.",Adam Brooks,https://m.media-amazon.com/images/M/MV5BY2ZkZDVmODgtY2VjNy00NzZkLTlmYjItMjU4NDVmMTgxMzkyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
"Tomorrow, and Tomorrow, and Tomorrow",,,,,,,,,
Dangerous Curves,1988,['Comedy'],1h 33m,3.8,PG,557,"A college graduate is offered a deal of a lifetime - deliver a Porsche for a client and join the company of your dreams in return. When the car gets stolen, he and his friend must go to a beauty pageant run by the thief to get it back.",David Lewis,https://m.media-amazon.com/images/M/MV5BOWQ2MTVlYjMtMWNjZS00OWM1LWI3YmYtMDgwN2Q1MTk3ODUyXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_.jpg
Lost on a Mountain in Maine,,,,,,,,,
Red Woods,2021,"['Adventure', 'Horror', 'Mystery']",,,,,,,
Fight for Your Life,1977,"['Crime', 'Drama', 'Thriller']",1h 22m,6.3,R,1.7K,A mean trashy exploitation picture about three convicts who escape from jail and hole up at the house of a black minister. There are a few nasty scenes where the minister's family is being repeatedly terrorized by the thugs. In the end the minister turns the tables on the 3 convi... Read all,Robert A. Endelson,https://m.media-amazon.com/images/M/MV5BYzI0OTFhOGYtMDQ0ZC00YzEzLWE1MTgtNTAxMGJmNjAxZDRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
The Ten Commandments,2007,"['Animation', 'Family', 'History']",1h 28m,2.9,PG,2.5K,"In this animated adaptation of the Bible story Moses hears the voice of God from a burning bush, which inspires him to confront Egypt's pharaoh and demand freedom for the Israelite slaves. The pharaoh agrees after a series of horrific plagues, and Moses leads the Israelites throu... Read all",Bill Boyce,https://m.media-amazon.com/images/M/MV5BYzdlMGE3MDItMWZlZC00MjRkLWJlYjctMmNiZjQ2MmM2ZTk4XkEyXkFqcGdeQXVyMjMxNjI1OQ@@._V1_.jpg
Bloodfist,1989,"['Action', 'Sport']",1h 25m,4.7,R,1.4K,"Don Wilson plays retired kickboxer Jake Raye, who travels to Manila, where his brother is favored to win a kickboxing competition. His brother is killed, and Jake realizes he must enter the competition himself to flush out his brother's killer.",Terence H. Winkless,https://m.media-amazon.com/images/M/MV5BZDE0M2IzZDItOTI4NS00NWE2LTk0NjktMDdkYWU0Yjc5NTQwXkEyXkFqcGdeQXVyMzc5ODAyNTA@._V1_.jpg
Heaven's Door,2012,"['Drama', 'Family', 'Sci-Fi']",1h 38m,5.4,PG,551,"After her grandfather dies, a girl discovers a portal into another dimension.",Craig Clyde,https://m.media-amazon.com/images/M/MV5BNWFiMWQwOGEtOTBlYi00ODc5LWI4ODEtMzNmYTQ1NjM2NjZlXkEyXkFqcGdeQXVyMjI4OTg3MTc@._V1_.jpg
Caged,2021,"['Drama', 'Horror', 'Thriller']",1h 21m,3.9,Not Rated,584,"An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",Aaron Fjellman,https://m.media-amazon.com/images/M/MV5BM2IwOTI1NjYtNjU0Ny00NzMxLWIzMzQtYTFiYzAwNTI2OGJlXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_.jpg
Neruda,2016,"['Biography', 'Crime', 'Drama']",1h 47m,6.8,R,11K,"An inspector hunts down Nobel Prize-winning Chilean poet Pablo Neruda, who becomes a fugitive in his home country in the late 1940s for joining the Communist Party.",Pablo Larraín,https://m.media-amazon.com/images/M/MV5BMzM0NDI4Mjc5NV5BMl5BanBnXkFtZTgwMTM0NzQ0MDI@._V1_.jpg
S&man,2006,['Horror'],1h 24m,5.6,R,1.1K,"An exploration of voyeurism in cinema, from Psycho and Peeping Tom in 1960 to the low-budget underground genre films of recent years.",J.T. Petty,https://m.media-amazon.com/images/M/MV5BNzQxNDJlODEtOTgxNy00MWNlLTg5OTEtZGI2NTc1YTdkMjE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
The Man I Married,1940,"['Drama', 'Mystery']",,,,,,,
One Hour Outcall,2019,['Drama'],,,,,,,
Hugo Pool,1997,"['Comedy', 'Romance']",1h 32m,5,R,2.1K,An LA pool cleaner/Alyssa Milano falls in love with a young man with ALS/Lou Gehrig's Disease.,Robert Downey Sr.,https://m.media-amazon.com/images/M/MV5BZmE3MzEyNGMtNTEwYi00Y2Y5LWI1NDctNmZmZDJmOGI3NzBhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
Fred & Ginger,,,,,,,,,
Amityville Turkey Day,2024,"['Comedy', 'Horror', 'Mystery']",,,,,,,
The Empire in Africa,2006,['Documentary'],1h 27m,7.2,Not Rated,148,The story of the war the international community waged against civil war stricken Sierra Leone.,Philippe Diaz,https://m.media-amazon.com/images/M/MV5BMTkwNDI4Mzc2Nl5BMl5BanBnXkFtZTgwNTI4MDA2MDE@._V1_.jpg
Direct Action,2004,"['Action', 'Crime', 'Thriller']",1h 37m,5,R,1.8K,"Frank Gannon, a veteran cop, is being hunted by his fellow police officers after they learned he has betrayed the brotherhood and exposed to the feds wide scale corruption of the LAPD. He has one day left to prove his case and survive.",Sidney J. Furie,https://m.media-amazon.com/images/M/MV5BOGFhN2RjNTctODYzZi00NmQwLWJiY2MtYzU5NzEwMTAzYmU2XkEyXkFqcGdeQXVyMDI4NjM1MQ@@._V1_.jpg
Safer at Home,2021,"['Crime', 'Drama', 'Horror']",1h 22m,3.8,R,3.9K,"Two years into the pandemic, a group of friends throw a wild online party. After taking ecstasy, things go terribly wrong and the safety of their homes becomes more terrifying than the raging chaos outside.",Will Wernick,https://m.media-amazon.com/images/M/MV5BMGZlYjdiYjEtZjdmZi00NzJjLTg4OTMtMDY5Yjc3ODZkNjVkXkEyXkFqcGdeQXVyMjIzMTQ5NjE@._V1_.jpg
Vampire Vixens from Venus,1995,"['Comedy', 'Horror', 'Sci-Fi']",1h 30m,3,R,263,"Three Venusians land on Earth and transform themselves into beautiful buxom babes, then go about their task of sucking the life force out of unsuspecting males. Their disguises are a propos since the life force is more valuable when extracted at a moment of extreme sexual excitem... Read all",Ted A. Bohus,https://m.media-amazon.com/images/M/MV5BMWExY2Q3NWMtYjc0Ny00ZmRhLThjMTMtOTUzNjY5ZWNhZGIyL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg
The Land,2016,['Drama'],1h 44m,6.4,R,1.9K,"Four teenage boys in Cleveland, Ohio pursue dreams of professional skateboarding over the summer to escape inner city life but entanglement with a local crime boss endangers their brotherhood and lives.",Steven Caple Jr.,https://m.media-amazon.com/images/M/MV5BNDA2NWU3YTctYTczYy00NjZjLWFmM2UtMzJlMTU2ZWEyYzlkXkEyXkFqcGdeQXVyNjY3MzIzMzU@._V1_.jpg
Hex,2022,"['Action', 'Adventure', 'Horror']",1h 28m,3.4,R,521,"Following a mysterious disappearance on a jump, a group of skydivers experience paranormal occurrences that leave them fighting for their lives.",Chris Johnston,https://m.media-amazon.com/images/M/MV5BM2VmNDUwMzMtMmMzYi00MjY0LTg2YzEtNWI2OTI5MjZhN2VlXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_.jpg
Heir of the Witch,2023,"['Horror', 'Thriller']",1h 34m,4.5,R,1.2K,"An underprivileged seamstress, haunted by her past, seeks love and acceptance in high society but is faced with the curse from her evil roots.",Victoria U Bell,https://m.media-amazon.com/images/M/MV5BYzI1MWM0MGYtNGE3NC00NDE4LTlmOGYtNmNmNDA5Mzc4YTYxXkEyXkFqcGdeQXVyNjIzMjcxNjI@._V1_.jpg
Interrogation,2016,"['Action', 'Thriller']",1h 33m,4.9,R,1.9K,"An FBI agent (Copeland) shoots, but not fatally wounds a dissident gunman. His interrogation reveals many pieces to a plot which threatens the city.",Stephen Reynolds,https://m.media-amazon.com/images/M/MV5BMTg1MDk4MjIyNF5BMl5BanBnXkFtZTgwMjg4NTA1OTE@._V1_.jpg
Hostile Border,2015,"['Drama', 'Thriller']",1h 28m,5.5,R,624,"Claudia, 22, gets busted for credit card fraud and deported from USA to Mexico. She returns to her estranged dad's ranch. She's a pocha - can't speak Spanish. She gets involved with a drug smuggler.",Michael Dwyer,
Riot in Cell Block 11,1954,"['Crime', 'Drama', 'Film-Noir']",1h 20m,7,Not Rated,2.4K,"Fed up with the inhumane prison living conditions, a general prison riot breaks out, leading to hostage-taking, a stand-off with the guards and eventual negotiations with the prison administration officials.",Don Siegel,https://m.media-amazon.com/images/M/MV5BZTAyZWM2ZGEtNWFhZi00YjJjLTlmMmItNzk0ZjQ5NDkzNGI3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
The Russian Bride,2018,"['Horror', 'Thriller']",,,,,,,
Bender,2016,"['Drama', 'History', 'Thriller']",,,,,,,
Storybook,1994,"['Adventure', 'Family', 'Fantasy']",1h 28m,4.8,G,261,"Eight-Year-Old Brandon Finds A Magical STORYBOOK That Leads Him To A Doorway In His Attic To The Enchanted Storyland. There He Meets Woody The Woodsman , Pouch The Boxing Kangaroo & Hoot The Wise Owl. And They Set Out To Restore A Kingdom Taken From Prince Arthur By An Evil Queen... Read all",Lorenzo Doumani,https://m.media-amazon.com/images/M/MV5BMmI0OWRjZGItZmQxYy00YjVkLWFjZGYtNDU2YmQzNTE5ZjNlXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_.jpg
Between Two Worlds,1944,"['Mystery', 'Drama', 'Fantasy']",1h 52m,7.1,Approved,2.4K,"Passengers on an ocean liner can't recall how they got on board or where they are going yet, oddly enough, it soon becomes apparent that they all have something in common.",Edward A. Blatt,https://m.media-amazon.com/images/M/MV5BODBjNWUxZDktMTJjYS00ZWJkLThkYWYtMjM0ZGQ2MzZjM2MwXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_.jpg
CarGo,2017,"['Animation', 'Adventure', 'Family']",1h 36m,2.8,TV-G,614,A young car learns the importance of family when he embarks on a mission to rescue his father who's been sent to Clunker Island to be re-purposed as junk metal.,James Cullen Bressack,https://m.media-amazon.com/images/M/MV5BMDY5OTRhZDUtYTFlMC00NjNjLTk1NDgtY2ZjNGIzOWRhZTNjXkEyXkFqcGdeQXVyMjUxOTAxNzI@._V1_.jpg
Signal Hill,,,,,,,,,
Claw,2021,"['Comedy', 'Horror', 'Sci-Fi']",,,,,,,
"Trees, and Other Entanglements",2023,['Documentary'],1h 55m,6.6,TV-14,375,"Irene Taylor crafts a poetic meditation on nature, mortality, and the passage of time in her exploration of our symbiotic nexus with trees.",Irene Taylor,https://m.media-amazon.com/images/M/MV5BNjk5Mjk4ODEtMjViNy00NjFhLThiMWUtOGY5ZGQ3YWZlZTBhXkEyXkFqcGdeQXVyNjM1NzYzMDk@._V1_.jpg
Ghosts of Hamilton Street,2003,"['Fantasy', 'Mystery', 'Drama']",1h 46m,5.9,Not Rated,146,"In this award-winning student film, a troubled writer questions his sanity as people in his life vanish without a trace - and it seems he's the only one who realizes it. Each disappearance catapults him into a version of the world in which that person never existed at all, and on... Read all",Mike Flanagan,https://m.media-amazon.com/images/M/MV5BMTcxMjYwNjU5OV5BMl5BanBnXkFtZTcwMDQyMTUyMQ@@._V1_.jpg
Like the First Time,2022,"['Drama', 'Romance']",,,,,,,
Respect the Jux,2022,"['Crime', 'Drama']",,,,,,,
The Hater,2022,['Comedy'],,,,,,,
Discarded Things,2020,['Drama'],1h 47m,6.6,Not Rated,307,"When tragedy disrupts the life of esteemed music professor Grace Wyatt, she is ejected from her lavish academic world and into the harsh reality of teaching at-risk youth.",Joanne Hock,https://m.media-amazon.com/images/M/MV5BZDgwOTY1NTYtMDJhYy00NDMzLTk1YmYtM2Q5ZDVkNDZmNDgyXkEyXkFqcGdeQXVyMjY2NDc0OTQ@._V1_.jpg
Freshman Orientation,2004,"['Comedy', 'Romance']",1h 32m,5.2,R,1.8K,A horny college freshman feigns being gay to be near the beautiful co-ed of his desires.,Ryan Shiraki,https://m.media-amazon.com/images/M/MV5BMjEyMDg5ODczNV5BMl5BanBnXkFtZTcwNjAzNzc5MQ@@._V1_.jpg
Powder Pup,2024,"['Adventure', 'Comedy', 'Family']",1h 29m,8.4,PG,21,"Shaun a Southern California surfer, his dad's plan to move to mountains of Montana crushes him until he meets a dog who can snowboard. With the help of his canine friend, he is set to make a run for the annual snowboarding championship.",Ari Novak,https://m.media-amazon.com/images/M/MV5BOWI2NTAzOWEtMGZhYi00NGU3LTk3ZWItZTI5MDA5NTViMzQyXkEyXkFqcGdeQXVyNDUzMzUwMzE@._V1_.jpg
The Invisible Man's Revenge,1944,"['Crime', 'Horror', 'Mystery']",1h 18m,5.7,Approved,2.8K,"An eccentric scientist helps a fugitive from the law become invisible, unwittingly giving him the power to exact revenge on his former friends.",Ford Beebe,https://m.media-amazon.com/images/M/MV5BYTNkOWExMGMtYmQxZS00MjkzLWIyODItYTRlZjMwZGFkYjBlXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg
Carlos,2023,"['Documentary', 'Biography']",1h 27m,7.2,R,307,Follows Santana's journey from 14-year-old street musician to a 10-time Grammy winning global sensation. Features unseen archival footage and tracks.,Rudy Valdez,https://m.media-amazon.com/images/M/MV5BMDEwYTFhYWItZmEwNC00YmYzLTljNGItNWU0MDA0YmIzZWM4XkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_.jpg
Mr. Belvedere Goes to College,1949,['Comedy'],1h 23m,6.8,Approved,859,"Belvedere discovers that he is ineligible for an honorary award because he never attended college. So he enrolls as a freshman in a major university, becoming the target for hazing from obnoxious upper class-man Alan Young.",Elliott Nugent,https://m.media-amazon.com/images/M/MV5BMWRjZDhkNjUtYTEwMy00OTU3LTk1N2MtNDUwYjc4MDU4YzIwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Jonty,,,,,,,,,
Separate Ways,1981,['Drama'],1h 32m,4.6,R,269,"A wife unhappy in her marriage begins an affair with an art student, unaware that her husband, a race driver, is also having an affair.",Howard Avedis,https://m.media-amazon.com/images/M/MV5BZmU0NzJjNjQtYTZkZC00MjY1LWI2MjktNWVjMTY3MjQ1NGU1XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_.jpg
Mall,2014,['Drama'],1h 28m,4.9,R,1.6K,The lives of five disaffected suburbanites come together at a shopping mall in the wake of one man's shooting spree.,Joseph Hahn,https://m.media-amazon.com/images/M/MV5BY2JkNTdmNmYtYjc1ZC00MDVmLWFmZDgtODc0Yjg5Y2JjMzU5XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_.jpg
The Butcher,2009,"['Action', 'Thriller']",1h 35m,5.3,Not Rated,917,"A mob enforcer is set up for a fall, but when he slips the trap he snaps and seeks retribution, living up to his moniker: The Butcher.",Jesse V. Johnson,https://m.media-amazon.com/images/M/MV5BMTk1NDIwNTYzMF5BMl5BanBnXkFtZTcwNzg2MDc0MQ@@._V1_.jpg
Cobra Woman,1944,"['Adventure', 'Drama', 'Romance']",1h 11m,5.7,Approved,1.3K,"A beautiful woman is abducted from her peaceful South Seas home and taken to Cobra Island, where her grandmother Queen wants her to displace her evil twin sister and vengeance against her priest and corrupt advisor.",Robert Siodmak,https://m.media-amazon.com/images/M/MV5BOWQ2ZDZhYjgtODFiZS00MzYwLWJlZmEtMGZiYWQ2NzY1OWMzXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg
Stargames,1997,['Sci-Fi'],,,,,,,
Rasputin and the Empress,1932,"['Biography', 'Drama', 'History']",2h 1m,6.5,Approved,1.2K,"A prince plots to kill the mad monk Rasputin for the good of the czar, the czarina and Russia.",Richard Boleslawski,https://m.media-amazon.com/images/M/MV5BNjJlZDIxOGItZmUyMy00M2RmLWE3M2YtMTM1MGZjMDA1ZTc5XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
Bloodhounds of Broadway,1989,"['Comedy', 'Drama', 'Romance']",1h 33m,5.3,PG,1.4K,"Broadway was never brighter and never roared louder than New Year's Eve, 1928, when anything could happen-and did. A four part short story musical co-starring Madonna, Jennifer Grey, and Matt Dillon.",Howard Brookner,https://m.media-amazon.com/images/M/MV5BZDg4ZGM4YWUtMWU2MC00NTUxLWEzMjMtMDYwZjU5YzgyN2UyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg
Grounded,,,,,,,,,
Explorer: The Last Tepui,2022,['Documentary'],,,,,,,
River of Death,1989,"['Action', 'Adventure', 'Drama']",1h 41m,4.4,R,1.5K,In 1965 a guide in the Amazon leads people to a lost city in search of a mad Nazi doctor.,Steve Carver,https://m.media-amazon.com/images/M/MV5BNGM5YWE3NmMtMDIwOC00MTE4LWI0YmQtZmZjNjg1MDRmYTkxXkEyXkFqcGdeQXVyMTc3ODg0MjQ3._V1_.jpg
